Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,TimeOfDay,Customer_Category,Season,Promotion,Member
1000000000,6/20/2022,Michael Young,"['Tea', 'Swim Cap', 'Sandals', 'Slippers']",4,38.27,Cash,Hà Nội,13:24:15,Adult (30-49),Winter,Discount on Selected Items,No
1000000001,7/23/2023,Lindsay Simmons,"['Band-Aids', 'Lighter Fluid', 'Beef']",3,21.63,Cash,Đà Nẵng,9:56:29,Young Adult (20-29),Winter,Discount on Selected Items,No
1000000002,10/28/2021,Mrs. Jessica Reed,"['Onion Powder', 'Dish Soap', 'Salt', 'Aluminum Foil', 'Charcoal']",5,43.19,Mobile Payment,Đà Nẵng,18:29:29,Adult (30-49),Summer,BOGO (Buy One Get One),No
1000000003,11/4/2022,Spencer Rowe,"['Apples', 'Tomato Sauce', 'Tape', 'Bug Spray', 'Cumin', 'Trail Mix', 'Underwear', 'Chewing Gum']",8,93.44,Credit Card,Đà Nẵng,17:02:19,Senior (65+),Fall,Discount on Selected Items,No
1000000004,9/29/2023,Brenda Jones,"['Bug Spray', 'Bath Mat', 'Multi-Surface Cleaner', 'Sunglasses', 'Laptop Bag', 'Canned Vegetables', 'Mayonnaise']",7,55.56,Debit Card,Đà Nẵng,19:08:32,Adult (30-49),Fall,BOGO (Buy One Get One),Yes
1000000005,1/30/2022,Lori Gilbert,"['Frozen Pizza', 'Comb', 'Notebook Paper', 'Popsicles', 'Extension Cord', 'Oats', 'Mouthwash']",7,78.92,Debit Card,Hồ Chí Minh,11:37:07,Senior (65+),Spring,None,No
1000000006,12/7/2022,Haley Lane,['Binders'],1,8.09,Cash,Cần Thơ,13:05:54,Young Adult (20-29),Fall,Discount on Selected Items,No
1000000007,11/28/2022,Shannon Thompson,['Brown Sugar'],1,13.29,Cash,Hồ Chí Minh,15:38:01,Middle-aged (50-64),Fall,BOGO (Buy One Get One),No
1000000008,6/6/2023,Jim Chan,"['Moving Boxes', 'Umbrella', 'Glass Cleaner']",3,29.11,Debit Card,Hà Nội,9:11:04,Middle-aged (50-64),Winter,None,Yes
1000000009,2/23/2020,Jeffrey Anderson,"['Ketchup', 'Razors', 'Duffel Bag', 'Socks']",4,35.65,Cash,Hà Nội,18:49:14,Adult (30-49),Winter,BOGO (Buy One Get One),No
